Google Flu Trends - Belgium,,,,,,,,,,,
Copyright 2014 Google Inc.,,,,,,,,,,,
,,,,,,,,,,,
Exported data may be used for any purpose, subject to the Google Terms of Service (http://www.google.com/accounts/TOS?hl=en_US).,,,,,,,,,,
If you choose to use the data," please attribute it to Google as follows: ""Data Source: Google Flu Trends (http://www.google.org/flutrends)"".",,,,,,,,,,
,,,,,,,,,,,
Each week begins on the Sunday (Pacific Time) indicated for the row.,,,,,,,,,,,
Data for the current week will be updated each day until Saturday (Pacific Time).,,,,,,,,,,,
Note: To open these files in a spreadsheet application, we recommend you save each text file as a CSV spreadsheet.,,,,,,,,,,
For more information, please visit http://www.google.org/flutrends,,,,,,,,,,
,,,,,,,,,,,
Date,Belgium,Brussels,Antwerp,Flemish Brabant,Limburg,East Flanders,West Flanders,Hainaut,Liege,,Total
9/28/03,50,,98,,,,,,,,148
10/5/03,44,32,90,,,,,,,,166
10/12/03,63,43,120,,,,,,,,226
10/19/03,112,63,250,85,,,,,,,510
10/26/03,54,45,116,103,,84,,,,,402
11/2/03,70,36,114,92,,101,101,,,,514
11/9/03,74,48,97,71,,109,125,,,,524
11/16/03,133,91,151,105,,140,147,23,,,790
11/23/03,273,138,358,253,319,498,454,45,,,2338
11/30/03,725,623,1431,1663,1222,1887,2945,185,,,10681
12/7/03,832,564,1309,1325,2772,3053,1700,413,,,11968
12/14/03,729,506,1689,1172,3525,2367,1341,244,,,11573
12/21/03,265,193,356,421,1743,808,902,178,,,4866
12/28/03,159,172,205,318,854,310,479,124,,,2621
1/4/04,119,78,126,215,584,210,335,77,,,1744
1/11/04,68,44,96,124,260,151,201,63,,,1007
1/18/04,93,33,167,89,248,122,168,46,,,966
1/25/04,78,33,118,94,191,236,163,40,,,953
2/1/04,80,34,133,111,196,208,181,30,,,973
2/8/04,65,27,101,87,213,112,211,30,,,846
2/15/04,64,26,112,97,186,103,332,23,,,943
2/22/04,44,23,70,67,146,87,239,21,,,697
2/29/04,61,23,181,56,122,98,174,19,,,734
3/7/04,109,37,186,57,135,394,172,16,,,1106
3/14/04,70,39,108,65,138,282,184,16,,,902
3/21/04,61,41,69,68,132,178,222,16,,,787
3/28/04,43,31,99,60,147,113,149,15,,,657
4/4/04,21,19,70,50,142,75,94,14,,,485
4/11/04,24,16,46,43,103,60,83,11,,,386
4/18/04,32,17,50,39,75,57,60,11,,,341
4/25/04,29,16,47,33,62,90,54,10,,,341
5/2/04,34,15,55,38,55,105,54,9,,,365
5/9/04,42,27,55,33,47,120,61,8,,,393
5/16/04,33,18,55,40,45,101,74,7,,,373
5/23/04,38,15,62,54,45,74,114,7,,,409
5/30/04,41,25,65,75,49,67,101,6,,,429
6/6/04,28,20,47,68,44,76,81,5,,,369
6/13/04,19,14,37,52,52,79,70,4,,,327
6/20/04,16,10,24,40,64,61,52,4,,,271
6/27/04,10,10,18,28,59,37,37,4,,,203
7/4/04,11,8,16,28,53,28,31,5,,,180
7/11/04,19,9,21,20,52,25,28,5,,,179
7/18/04,13,6,24,26,45,21,27,4,,,166
7/25/04,9,5,28,20,38,21,24,4,,,149
8/1/04,10,4,31,19,35,19,25,4,,,147
8/8/04,8,4,26,18,33,25,27,4,,,145
8/15/04,11,4,27,16,29,23,29,4,,,143
8/22/04,11,5,22,18,29,25,27,3,,,140
8/29/04,11,6,22,20,30,21,22,3,,,135
9/5/04,26,7,18,29,28,23,29,4,,,164
9/12/04,34,20,30,35,36,26,48,5,,,234
9/19/04,54,29,77,59,46,35,120,5,4,,429
9/26/04,75,33,129,73,84,133,117,6,8,,658
10/3/04,81,39,187,103,117,157,124,9,10,,827
10/10/04,95,40,199,98,127,126,147,11,23,,866
10/17/04,63,33,142,72,124,143,151,19,20,,767
10/24/04,53,34,87,84,138,128,120,18,19,,681
10/31/04,49,37,90,64,114,116,68,17,21,,576
11/7/04,63,36,140,67,103,140,66,19,17,,651
11/14/04,67,38,118,65,102,184,107,19,16,,716
11/21/04,105,84,111,104,130,246,146,20,17,,963
11/28/04,120,52,269,109,195,210,156,28,15,,1154
12/5/04,116,54,182,154,276,235,149,50,23,,1239
12/12/04,137,82,196,148,230,240,170,88,24,,1315
12/19/04,144,65,335,146,183,201,199,92,32,,1397
12/26/04,169,94,372,205,196,390,190,69,33,,1718
1/2/05,203,88,318,492,251,392,164,72,38,,2018
1/9/05,201,132,319,304,292,437,225,81,51,,2042
1/16/05,168,86,299,224,245,314,198,62,48,,1644
1/23/05,191,70,353,200,218,394,229,54,58,,1767
1/30/05,233,125,397,318,364,364,314,50,52,,2217
2/6/05,379,166,903,786,650,666,358,67,99,,4074
2/13/05,492,255,847,713,787,894,666,109,215,,4978
2/20/05,429,140,1018,687,869,683,453,137,184,,4600
2/27/05,419,150,581,660,711,1132,651,101,157,,4562
3/6/05,413,96,1006,547,971,1107,481,107,113,,4841
3/13/05,330,106,886,578,864,637,314,90,99,,3904
3/20/05,164,53,387,244,555,320,273,58,67,,2121
3/27/05,72,31,176,141,304,232,184,41,48,,1229
4/3/05,55,21,101,107,198,130,128,31,34,,805
4/10/05,57,14,143,115,127,165,149,20,27,,817
4/17/05,59,13,130,98,124,174,174,14,23,,809
4/24/05,59,16,197,72,123,160,130,13,19,,789
5/1/05,64,13,155,85,113,125,118,12,15,,700
5/8/05,67,20,96,100,88,124,158,12,13,,678
5/15/05,84,22,144,89,113,327,145,9,12,,945
5/22/05,65,20,182,89,115,194,157,9,10,,841
5/29/05,50,12,92,70,188,121,103,10,7,,653
6/5/05,47,11,125,57,213,74,75,8,6,,616
6/12/05,42,8,115,43,158,143,78,7,5,,599
6/19/05,26,7,77,43,115,115,64,6,5,,458
6/26/05,25,7,64,41,69,58,69,5,4,,342
7/3/05,12,6,40,29,57,43,54,4,4,,249
7/10/05,21,6,46,30,49,32,48,3,3,,238
7/17/05,24,6,63,24,35,61,44,3,3,,263
7/24/05,18,5,58,19,31,72,38,3,3,,247
7/31/05,24,6,44,21,33,53,39,3,3,,226
8/7/05,22,14,44,33,29,44,30,3,3,,222
8/14/05,18,10,30,38,29,32,28,2,3,,190
8/21/05,25,12,42,33,25,35,46,2,3,,223
8/28/05,31,11,80,34,39,69,50,2,3,,319
9/4/05,35,10,119,29,40,81,66,2,3,,385
9/11/05,40,11,68,56,46,93,87,4,3,,408
9/18/05,39,15,52,43,52,82,86,5,3,,377
9/25/05,68,34,119,74,76,75,79,9,3,,537
10/2/05,80,36,163,161,110,165,125,18,6,,864
10/9/05,88,44,227,99,139,163,105,38,10,,913
10/16/05,98,41,232,108,124,238,91,37,16,,985
10/23/05,113,47,258,168,197,189,142,31,31,,1176
10/30/05,71,23,108,117,161,216,168,23,28,,915
11/6/05,99,54,216,159,138,161,154,19,23,,1023
11/13/05,166,106,563,263,210,441,497,25,26,,2297
11/20/05,185,91,311,170,429,431,598,45,26,,2286
11/27/05,192,78,339,327,569,394,287,40,32,,2258
12/4/05,201,95,453,293,477,412,421,35,34,,2421
12/11/05,168,55,351,177,479,426,348,29,32,,2065
12/18/05,121,58,178,153,437,325,259,31,27,,1589
12/25/05,119,80,211,147,297,309,186,32,24,,1405
1/1/06,117,43,219,173,214,187,304,38,28,,1323
1/8/06,151,46,481,161,289,304,298,30,27,,1787
1/15/06,131,48,270,221,369,244,308,32,32,,1655
